Title,Director,Country,Year,Decade,Duration,Description,Total Hours,Url,titleYear_x,newTitleYear,tconst,averageRating,numVotes,primaryTitle,originalTitle,startYear,titleYear_y,isDuplicated
Magnificent Obsession,John M. Stahl,United States,1935,1930s,1:42,"In the role that launched his career, Robert Taylor stars as an alcoholic playboy who, after his drunken antics inadvertently cause the death of a physician and leave his widow (Irene Dunne) blind, devotes himself to medicine in order to restore her sight and atone for his reckless ways. The wildly improbable story, based on a bestselling novel by Lloyd C. Douglas, is handled with supreme sincerity by director John M. Stahl, who manages to find transcendence in its unabashedly melodramatic machinations.",1.7,https://www.criterionchannel.com/magnificent-obsession,Magnificent Obsession 1935,Magnificent Obsession 1935,tt0026667,6.8,833,Magnificent Obsession,Magnificent Obsession,1935,Magnificent Obsession 1935,False
Mahler,Ken Russell,United Kingdom,1974,1970s,1:55,Famed composer Gustav Mahler reflects on the tragedies of his life and failing marriage while traveling by train.,1.92,https://www.criterionchannel.com/mahler,Mahler 1974,Mahler 1974,tt0071797,7.0,2345,Mahler,Mahler,1974,Mahler 1974,False
Maidstone,Norman Mailer,United States,1970,1970s,1:45,"Over a booze-fueled, increasingly hectic five-day shoot in East Hampton, Norman Mailer and his cast and crew spontaneously unloaded onto film the lurid and loony chronicle of U.S. presidential candidate and filmmaker Norman T. Kingsley debating and attacking his hangers-on and enemies. This gonzo narrative, ""an inkblot test of Mailer's own subconscious"" (Time), becomes something like a documentary on its own making when costar Rip Torn breaks the fourth wall in one of cinema's most alarming on-screen outbursts.",1.75,https://www.criterionchannel.com/maidstone,Maidstone 1970,Maidstone 1970,tt0064625,5.1,213,Maidstone,Maidstone,1970,Maidstone 1970,False
Maîtresse,Barbet Schroeder,France,1976,1970s,1:52,"A young provincial in search of adventure stumbles into the subterranean world of sadomasochism when he is implicated in a burglary of a Paris apartment. The apartment’s mistress runs a two-floor operation, all respectability above and a dungeon of punishment-seeking clients below. After the young man becomes her upstairs lover, she finds that the two levels of her carefully controlled existence begin to interfere with each other. Barbet Schroeder’s MAÎTRESSE examines the line between fantasy and reality, decadence and deprivation, and the distance one will go for love.",1.87,https://www.criterionchannel.com/maitresse,Maîtresse 1976,Maîtresse 1976,tt0074883,6.6,1947,Maîtresse,Maîtresse,1976,Maîtresse 1976,False
Major Barbara,Gabriel Pascal,United Kingdom,1941,1940s,2:01,"Filmed in London in 1941, during the Blitz, Major Barbara emerged from a troubled production to become a major success for George Bernard Shaw and producer-director Gabriel Pascal. Pygmalion's Wendy Hiller returns, this time as one of Shaw's most memorable and controversial characters, Barbara Undershaft, a Salvation Army officer who speaks out against the hypocrisy she believes exists in her Christian charity organization. Rex Harrison, Robert Newton, and Deborah Kerr costar in this merrily satirical morality play.",2.02,https://www.criterionchannel.com/major-barbara,Major Barbara 1941,Major Barbara 1941,tt0033868,6.8,1184,Major Barbara,Major Barbara,1941,Major Barbara 1941,False
The Making of Fanny and Alexander,Ingmar Bergman,Sweden,1982,1980s,1:49,"THE MAKING OF FANNY AND ALEXANDER is a fascinating look at the creation of a masterpiece. Directed by Ingmar Bergman himself, this feature-length documentary chronicles the methods of one of cinema’s true luminaries as he labors to realize his crowning production. Featuring Bergman at work with m...",1.82,https://www.criterionchannel.com/the-making-of-fanny-and-alexander,The Making of Fanny and Alexander 1982,The Making of Fanny and Alexander 1984,tt0090955,7.6,838,The Making of Fanny and Alexander,Dokument Fanny och Alexander,1984,The Making of Fanny and Alexander 1984,False
The Makioka Sisters,Kon Ichikawa,Japan,1983,1980s,2:20,"This lyrical adaptation of the beloved novel by Junichiro Tanizaki was a late-career triumph for director Kon Ichikawa. Structured around the changing of the seasons, THE MAKIOKA SISTERS (SASAME-YUKI) follows the lives of four siblings who have taken on their family’s kimono manufacturing business, in the years leading up to the Pacific War. The two oldest have been married for some time, but according to tradition, the rebellious youngest sister cannot wed until the third, conservative and terribly shy, finds a husband. This graceful study of a family at a turning point in history is a poignant evocation of changing times and fading customs, shot in rich, vivid colors.",2.33,https://www.criterionchannel.com/the-makioka-sisters,The Makioka Sisters 1983,The Makioka Sisters 1983,tt0086242,7.2,1405,The Makioka Sisters,Sasameyuki,1983,The Makioka Sisters 1983,False
Mala Noche,Gus Van Sant,United States,1985,1980s,1:17,"With its low budget and lush black-and-white imagery, Gus Van Sant’s debut feature MALA NOCHE heralded an idiosyncratic, provocative new voice in American independent film. Set in Van Sant’s hometown of Portland, Oregon, the film evokes a world of transient workers, dead-end day-shifters, and bars and seedy apartments bathed in a profound nighttime, as it follows a romantic deadbeat with a wayward crush on a handsome Mexican immigrant. MALA NOCHE was an important prelude to the New Queer Cinema of the nineties and is a fascinating capsule from a time and place that continues to haunt its director’s work.",1.28,https://www.criterionchannel.com/mala-noche,Mala Noche 1985,Mala Noche 1986,tt0089537,6.6,3773,Mala Noche,Mala Noche,1986,Mala Noche 1986,False
Mamma Roma,Pier Paolo Pasolini,Italy,1962,1960s,1:46,"Anna Magnani is Mamma Roma, a middle-aged prostitute who attempts to extricate herself from her sordid past for the sake of her son. Filmed in the great tradition of Italian neorealism, MAMMA ROMA offers an unflinching look at the struggle for survival in postwar Italy, and highlights director Pier Paolo Pasolini’s lifelong fascination with the marginalized and dispossessed. Though banned upon its release in Italy for obscenity, today MAMMA ROMA remains a classic, featuring a powerhouse performance by one of cinema’s greatest actresses and offering a glimpse at a country’s most controversial director in the process of finding his style.",1.77,https://www.criterionchannel.com/mamma-roma,Mamma Roma 1962,Mamma Roma 1962,tt0056215,7.8,8395,Mamma Roma,Mamma Roma,1962,Mamma Roma 1962,False
Man Bites Dog,Rémy Belvaux…,Belgium,1992,1990s,1:36,"Documentary filmmakers André and Rémy have found an ideal subject in Ben. He is witty, sophisticated, intelligent, well liked—and a serial killer. As André and Rémy document Ben’s routines, they become increasingly entwined in his vicious program, sacrificing their objectivity and their morality. Controversial winner of the International Critics’ Prize at the 1992 Cannes Film Festival, MAN BITES DOG stunned audiences worldwide with its unflinching imagery and biting satire of media violence.",1.6,https://www.criterionchannel.com/man-bites-dog,Man Bites Dog 1992,Man Bites Dog 1992,tt0103905,7.5,36618,Man Bites Dog,C'est arrivé près de chez vous,1992,Man Bites Dog 1992,False
The Manchurian Candidate,John Frankenheimer,United States,1962,1960s,2:06,"The name John Frankenheimer became forever synonymous with heart-in-the-throat filmmaking when this quintessential sixties political thriller was released. Set in the early fifties, this razor-sharp adaptation of the novel by Richard Condon concerns the decorated U.S. Army sergeant Raymond Shaw (Laurence Harvey), who as a prisoner during the Korean War is brainwashed into becoming a sleeper assassin in a Communist conspiracy, and a fellow POW (Frank Sinatra) who slowly uncovers the sinister plot. In an unforgettable performance, Angela Lansbury plays Raymond’s villainous mother, the controlling wife of a witch-hunting anti-Communist senator with his eyes on the White House. The rare film that takes aim at the frenzy of the McCarthy era while also being suffused with its Cold War paranoia, THE MANCHURIAN CANDIDATE remains potent, shocking American moviemaking.",2.1,https://www.criterionchannel.com/the-manchurian-candidate,The Manchurian Candidate 1962,The Manchurian Candidate 1962,tt0056218,7.9,71584,The Manchurian Candidate,The Manchurian Candidate,1962,The Manchurian Candidate 1962,False
Mandabi,Ousmane Sembène,Senegal,1968,1960s,1:32,"This second feature by Ousmane Sembène was the first movie ever made in the Wolof language—a major step toward the realization of the trailblazing Senegalese filmmaker’s dream of creating a cinema by, about, and for Africans. After jobless Ibrahima Dieng receives a money order for 25,000 francs from a nephew who works in Paris, news of his windfall quickly spreads among his neighbors, who flock to him for loans even as he finds his attempts to cash the order stymied in a maze of bureaucracy, and new troubles rain down on his head. One of Sembène’s most coruscatingly funny and indignant films, MANDABI—an adaptation of a novella by the director himself—is a bitterly ironic depiction of a society scarred by colonialism and plagued by corruption, greed, and poverty.",1.53,https://www.criterionchannel.com/mandabi,Mandabi 1968,Mandabi 1968,tt0063268,7.2,576,Mandabi,Mandabi,1968,Mandabi 1968,False
A Man Escaped,Robert Bresson,France,1956,1950s,1:40,"With the simplest of concepts and sparest of techniques, Robert Bresson made one of the most suspenseful jailbreak films of all time in A MAN ESCAPED. Based on the account of an imprisoned French Resistance leader, this unbelievably taut and methodical marvel follows the fictional Fontaine’s single-minded pursuit of freedom, detailing the planning and execution of his escape with gripping precision. But Bresson’s film is not merely about process—it’s also a work of intense spirituality and humanity.",1.67,https://www.criterionchannel.com/a-man-escaped,A Man Escaped 1956,A Man Escaped 1956,tt0049902,8.3,19578,A Man Escaped,Un condamné à mort s'est échappé ou Le vent souffle où il veut,1956,A Man Escaped 1956,False
Manila in the Claws of Light,Lino Brocka,Philippines,1975,1970s,2:06,"Lino Brocka achieved international acclaim with this candid portrait of 1970s Manila, a breakout example of the more serious-minded filmmaking the director had turned to after building a career on mainstream movies he described as “soaps.” A young fisherman from a provincial village arrives in the capital on a quest to track down his girlfriend, who was lured there with the promise of work and hasn’t been heard from since. In the meantime, he takes a low-wage job at a construction site and witnesses life on the streets, where death strikes without warning, corruption and exploitation are commonplace, and protests hint at escalating civil unrest. Mixing visceral, documentary-like realism with the narrative focus of Hollywood noir and melodrama, MANILA IN THE CLAWS OF LIGHT is a howl of anguish from one of the most celebrated figures in Philippine cinema.",2.1,https://www.criterionchannel.com/manila-in-the-claws-of-light,Manila in the Claws of Light 1975,Manila in the Claws of Light 1975,tt0073363,7.8,1518,Manila in the Claws of Light,Maynila sa mga kuko ng liwanag,1975,Manila in the Claws of Light 1975,False
The Man in Grey,Leslie Arliss,United Kingdom,1943,1940s,1:56,"This tale of treachery put both the Gainsborough melodrama and actor James Mason on the map. The star-to-be plays Lord Rohan, a cruel nobleman who marries the naive and sweet-natured Clarissa (Phyllis Calvert) for the sole purpose of producing an heir; meanwhile, Clarissa's conniving best friend, Hesther (Margaret Lockwood), plots against her for her own nefarious ends. THE MAN IN GREY, directed by Leslie Arliss, was such a box-office success that Gainsborough used it as a template, launching a cycle of increasingly rococo films.",1.93,https://www.criterionchannel.com/the-man-in-grey,The Man in Grey 1943,The Man in Grey 1943,tt0036135,6.6,1083,The Man in Grey,The Man in Grey,1943,The Man in Grey 1943,False
Man Is Not a Bird,Dušan Makavejev,Yugoslavia,1965,1960s,1:18,"Man Is Not a Bird is an antic, free-form portrait of the love lives of two less-than-heroic men who labor in a copper factory. For this first feature, following years of making documentaries and experimental shorts, Dusan Makavejev and his crew set up shop in Bor, a mining town in the mountains near Yugoslavia's border with Bulgaria, interviewing the workers in the region and even shooting footage inside the local ore factories. Yet the result is hardly a staid tribute to the working class. Also featuring seductive Milena Dravic, who would go on to star in Makavejev's groundbreaking WR: Mysteries of the Organism, Man Is Not a Bird is one of cinema's most assured and daring debuts.",1.3,https://www.criterionchannel.com/man-is-not-a-bird,Man Is Not a Bird 1965,Man Is Not a Bird 1965,tt0059063,7.2,1060,Man Is Not a Bird,Covek nije tica,1965,Man Is Not a Bird 1965,False
Man of Aran,Robert J. Flaherty,United Kingdom,1934,1930s,1:16,"Robert J. Flaherty's award-winning MAN OF ARAN uses stunning location photography and brilliant montage editing to build a forceful drama of life on the Aran Islands. Situated among the frequent and violent storms that slam into its barren landscape, the islands are 'three wastes of rock' off the western coast of Ireland. With a small crew, Flaherty spent nearly two years shooting, developing, and assembling footage of the islanders' Herculean efforts to survive in unbearably harsh conditions.",1.27,https://www.criterionchannel.com/man-of-aran,Man of Aran 1934,Man of Aran 1934,tt0025456,7.3,1984,Man of Aran,Man of Aran,1934,Man of Aran 1934,False
The Man Who Could Work Miracles,Lothar Mendes,United Kingdom,1936,1930s,1:22,A haberdasher's assistant (Roland Young) experiments with how to best use his newly granted miraculous powers.,1.37,https://www.criterionchannel.com/the-man-who-could-work-miracles,The Man Who Could Work Miracles 1936,The Man Who Could Work Miracles 1936,tt0029201,6.9,1336,The Man Who Could Work Miracles,The Man Who Could Work Miracles,1936,The Man Who Could Work Miracles 1936,False
The Man Who Knew Too Much,Alfred Hitchcock,United Kingdom,1934,1930s,1:16,"An ordinary British couple vacationing in Switzerland suddenly find themselves embroiled in a case of international intrigue when their daughter is kidnapped by spies plotting a political assassination. This fleet and gripping film is the first of the early thrillers the Master of Suspense, Alfred Hitchcock, made during the fertile phase of his career spent at the Gaumont-British Picture Corporation. Besides affirming Hitchcock’s genius, it gave the brilliant Peter Lorre his first English-speaking role, as a slithery villain. With its tension and gallows humor, it’s pure Hitchcock, and it set the tone for such films as THE 39 STEPS and THE LADY VANISHES.",1.27,https://www.criterionchannel.com/the-man-who-knew-too-much,The Man Who Knew Too Much 1934,The Man Who Knew Too Much 1934,tt0025452,6.8,17199,The Man Who Knew Too Much,The Man Who Knew Too Much,1934,The Man Who Knew Too Much 1934,False
The Man Who Left His Will On Film ,Nagisa Oshima,Japan,1970,1970s,1:34,"When a man chases down his stolen movie camera, the thief commits suicide by jumping off a building. But after the police take the camera as evidence, it becomes unclear if there was ever a thief in the first place.",1.57,https://www.criterionchannel.com/the-man-who-left-his-will-on-film,The Man Who Left His Will On Film  1970,The Man Who Put His Will on Film 1970,tt0066466,7.0,580,The Man Who Put His Will on Film,Tôkyô sensô sengo hiwa,1970,The Man Who Put His Will on Film 1970,False
The Man with the Golden Arm,Otto Preminger,United States,1955,1950s,1:59,"Otto Preminger’s groundbreaking depiction of drug addiction brought an explosively controversial topic to the screen with empathy and unflinching frankness. Frank Sinatra gives a harrowing performance as an aspiring jazz drummer who, following his release from prison, struggles to stay clean while bouncing between his manipulative wife (Eleanor Parker) and a sympathetic strip-club hostess (Kim Novak). Featuring an edgy, Oscar-nominated jazz score by Elmer Bernstein and an iconic title sequence by Saul Bass, THE MAN WITH THE GOLDEN ARM defied the Production Code and ushered in a new era of grown-up, serious-minded entertainment.",1.98,https://www.criterionchannel.com/the-man-with-the-golden-arm,The Man with the Golden Arm 1955,The Man with the Golden Arm 1955,tt0048347,7.4,10155,The Man with the Golden Arm,The Man with the Golden Arm,1955,The Man with the Golden Arm 1955,False
Marathon,Carlos Saura,Sweden,1993,1990s,2:10,"Carlos Saura's film of the Games of the XXV Olympiad Barcelona 1992 brings a visual flair and humanism that paid excellent tribute to the Games and to the Catalan capital. The title event, the men's marathon, was chosen both as symbol and leitmotif, in part because the race took place in the streets of Barcelona, but also because of the effort and endurance required in this most arduous of Olympic events. Saura was excited at the prospect of delivering a film that would run approximately the same length as the time a men's marathon winner might achieve, hence this director's cut of MARATHON at two hours and ten minutes.",2.17,https://www.criterionchannel.com/marathon-1,Marathon 1993,Marathon 1993,tt0185456,6.9,80,Marathon,Marathon,1993,Marathon 1993,False
Marcello Mastroianni: I Remember,Anna Maria Tatò,Italy,1997,1990s,3:14,"Italian-cinema icon Marcello Mastroianni starred in more than a hundred films over the course of his astonishing, half-century career, though he will perhaps always be best remembered for the six masterpieces he made with Federico Fellini, who cast the actor as his on-screen alter ego in international sensations like LA DOLCE VITA and 8½. In this sprawling documentary directed by Mastroianni’s longtime partner Anna Maria Tatò, the actor tells the story of his life with philosophical humility and sly wit, offering candid insight into the man behind the dashing image.",3.23,https://www.criterionchannel.com/marcello-mastroianni-i-remember,Marcello Mastroianni: I Remember 1997,Marcello Mastroianni: I Remember 1997,tt0119614,8.0,230,Marcello Mastroianni: I Remember,"Marcello Mastroianni: mi ricordo, sì, io mi ricordo",1997,Marcello Mastroianni: I Remember 1997,False
Le mariage de Chiffon,Claude Autant-Lara,France,1942,1940s,1:43,"Odette Joyeux plays Chiffon, a young and offbeat aristocrat who cannot seem to conform to the social conventions of her community.",1.72,https://www.criterionchannel.com/le-mariage-de-chiffon,Le mariage de Chiffon 1942,Le mariage de Chiffon 1942,tt0035039,6.5,154,Le mariage de Chiffon,Le mariage de Chiffon,1942,Le mariage de Chiffon 1942,False
Marius,Alexander Korda,France,1931,1930s,2:07,"Adapting his hit play “Marius” for the screen two years after its stage premiere, Marcel Pagnol turned his inimitable creative energies to the new medium of sound cinema, in a felicitous collaboration with the Hungarian-born director Alexander Korda, soon to be a leading light of British filmmaking. Young Marius and Fanny begin to recognize that their lifelong friendship has blossomed into romance, but their hopes of marriage are left unrealized when Marius cannot overcome his longing to go to sea, against the wishes of his adoring father, César, but with Fanny's selfless encouragement. Pagnol and Korda bring a keening lyricism to this tale of lovers torn between devotion and the restless urge for adventure, a conflict that begins to shape their destinies in ways they could never predict.",2.12,https://www.criterionchannel.com/marius,Marius 1931,Marius 1931,tt0022125,7.9,2007,Marius,Marius,1931,Marius 1931,False
Marketa Lazarová,František Vláčil,Czechoslovakia,1967,1960s,2:45,"In its native land, František Vláčil’s MARKETA LAZAROVÁ has been hailed as the greatest Czech film ever made; for many U.S. viewers, it will be a revelation. Based on a novel by Vladislav Vančura, this stirring and poetic depiction of a feud between two rival medieval clans is a fierce, epic, and meticulously designed evocation of the clashes between Christianity and paganism, humankind and nature, love and violence. Vláčil’s approach was to re-create the textures and mentalities of a long-ago way of life, rather than to make a conventional historical drama, and the result is dazzling. With its inventive widescreen cinematography, editing, and sound design, MARKETA LAZAROVÁ is an experimental action film.",2.75,https://www.criterionchannel.com/marketa-lazarova,Marketa Lazarová 1967,Marketa Lazarová 1967,tt0063278,8.0,4640,Marketa Lazarová,Marketa Lazarová,1967,Marketa Lazarová 1967,False
The Mark,Guy Green,United Kingdom,1961,1960s,2:07,"This daring drama garnered significant controversy for its frank and complex handling of a taboo subject. After his release from prison on charges of intent to commit child molestation, Jim Fuller (an Oscar-nominated Stuart Whitman) attempts to restart his life with the help of a sympathetic psychiatrist (Rod Steiger). When a young girl is attacked, suspicion immediately falls on Fuller and threatens to derail his budding relationship with a compassionate single mother (Maria Schell).",2.12,https://www.criterionchannel.com/the-mark,The Mark 1961,The Mark 1961,tt0055146,7.3,762,The Mark,The Mark,1961,The Mark 1961,False
The Marriage of Maria Braun,Rainer Werner Fassbinder,West Germany,1979,1970s,2:00,"Maria (Hanna Schygulla) marries Hermann Braun in the last days of World War II, only for him to go missing in the war. Alone, Maria puts to use her beauty and ambition in order to find prosperity during Germany’s “economic miracle” of the 1950s. Rainer Werner Fassbinder’s biggest international box-office success, THE MARRIAGE OF MARIA BRAUN is a heartbreaking study of a woman picking herself up from the ruins of her own life, as well as a pointed metaphorical attack on a society determined to forget its past.",2.0,https://www.criterionchannel.com/the-marriage-of-maria-braun,The Marriage of Maria Braun 1979,The Marriage of Maria Braun 1979,tt0079095,7.8,12496,The Marriage of Maria Braun,Die Ehe der Maria Braun,1979,The Marriage of Maria Braun 1979,False
A Married Couple,Allan King,Canada,1969,1960s,1:36,"Billy and Antoinette Edwards let it all hang out for Allan King and crew in this jaw-dropping examination of a marriage in trouble, which ""makes John Cassavetes's Faces look like early Doris Day"" (Time). Intense and hectic, frightening and funny, A Married Couple is ultimately a film about the eternal power struggle in romantic relationships, as well as a document of the moment when entrenched gender roles began to crumble.",1.6,https://www.criterionchannel.com/a-married-couple,A Married Couple 1969,A Married Couple 1969,tt0064640,7.6,535,A Married Couple,A Married Couple,1969,A Married Couple 1969,False
Martha,Rainer Werner Fassbinder,West Germany,1974,1970s,1:57,"One of Rainer Werner Fassbinder’s first forays into the classic melodrama style of his hero Douglas Sirk is a brilliantly perverse, operatically stylized portrait of a woman (Margit Carstensen) caught in a strange, sadomasochistic relationship with a monstrous husband (Karlheinz Böhm), whom she begins to suspect may be trying to murder her. Loosely based on a story by pulp-fiction master Cornell Woolrich, MARTHA finds Fassbinder tearing the institution of marriage to shreds with savage, subversive glee.",1.95,https://www.criterionchannel.com/martha,Martha 1974,Martha 1974,tt0070374,7.6,2401,Martha,Martha,1974,Martha 1974,False
Masculin féminin,Jean-Luc Godard,France,1966,1960s,1:44,"With MASCULIN FÉMININ, ruthless stylist and iconoclast Jean-Luc Godard introduces the world to “the children of Marx and Coca-Cola,” through a gang of restless youths engaged in hopeless love affairs with music, revolution, and each other. French new wave icon Jean-Pierre Leaud stars as Paul, an idealistic would-be intellectual struggling to forge a relationship with the adorable pop star Madeleine (real-life yé-yé girl Chantal Goya). Through their tempestuous affair, Godard fashions a candid and wildly funny free-form examination of youth culture in throbbing 1960s Paris, mixing satire and tragedy as only Godard can.",1.73,https://www.criterionchannel.com/masculin-feminin,Masculin féminin 1966,Masculin Féminin 1966,tt0060675,7.5,12929,Masculin Féminin,Masculin féminin,1966,Masculin Féminin 1966,False
Masques,Claude Chabrol,France,1987,1980s,1:40,"Posing as a journalist, a man interviews a celebrity he thinks is responsible for his sister's disappearance.",1.67,https://www.criterionchannel.com/masques,Masques 1987,Masques 1987,tt0520511,8.0,70,Masques,Masques,1987,Masques 1987,False
The Masseurs and a Woman,Hiroshi Shimizu,Japan,1938,1930s,1:06,"A pair of blind masseurs, an enigmatic city woman, a lonely man and his ill-behaved nephew, THE MASSEURS AND A WOMAN is made up of crisscrossing miniature studies of love and family at a remote resort in the mountains. With delicate and surprising humor, Hiroshi Shimizu paints a timeless portrait of loneliness and the human need to connect.",1.1,https://www.criterionchannel.com/the-masseurs-and-a-woman,The Masseurs and a Woman 1938,The Masseurs and a Woman 1938,tt0426900,7.2,592,The Masseurs and a Woman,Anma to onna,1938,The Masseurs and a Woman 1938,False
A Master Builder,Jonathan Demme,United States,2014,2010s,2:07,"Twenty years after their brilliant cinema-theater experiment VANYA ON 42ND STREET, Wallace Shawn and André Gregory reunited to produce another idiosyncratic film version of a classic play, this time Henrik Ibsen’s “Bygmester Solness” (“Master Builder Solness”). Brought pristinely to the screen by Jonathan Demme, this compellingly abstract reimagining features Shawn (who also wrote the adaptation) as a visionary but tyrannical middle-aged architect haunted by figures from his past, most acutely an attractive, vivacious young woman (the breathtaking newcomer Lisa Joyce) who has appeared on his doorstep. Also featuring standout supporting performances by Julie Hagerty, Larry Pine, and Gregory, A MASTER BUILDER, like VANYA, is the result of many years of rehearsals, a living, breathing, constantly shifting work that unites theater, film, and dream.",2.12,https://www.criterionchannel.com/a-master-builder,A Master Builder 2014,A Master Builder 2013,tt2276069,5.9,787,A Master Builder,A Master Builder,2013,A Master Builder 2013,False
Master of the House,Carl Th. Dreyer,Denmark,1925,1920s,1:47,"Before he turned to the story of Joan of Arc, the Danish cinema genius Carl Theodor Dreyer fashioned this ahead-of-its-time examination of domestic life. A deft comedy of gentle revenge, it is the story of a housewife who, with the help of a wily nanny, turns the tables on her tyrannical husband. In it, Dreyer combines lightness and humor with his customary meticulous craft and sense of integrity. MASTER OF THE HOUSE, an enormous box-office success in its day, is a jewel of the silent cinema.",1.78,https://www.criterionchannel.com/master-of-the-house,Master of the House 1925,Master of the House 1925,tt0015768,7.1,1775,Master of the House,Du skal ære din hustru,1925,Master of the House 1925,False
The Match Factory Girl,Aki Kaurismäki,Finland,1990,1990s,1:08,"Kaurismäki took his penchant for despairing character studies to unspeakably grim depths in the shockingly entertaining The Match Factory Girl. Kati Outinen is memorably impenetrable as Iris, whose grinding days as a cog in a factory wheel, and nights as a neglected daughter living with her parents, ultimately send her over the edge. Yet despite her transgressions, Kaurismäki makes Iris a compelling, even sympathetic figure. Bleak yet suffused with comic irony, The Match Factory Girl closes out the ""Proletariat Trilogy"" with a bang, and a whimper.",1.13,https://www.criterionchannel.com/the-match-factory-girl,The Match Factory Girl 1990,The Match Factory Girl 1990,tt0098532,7.6,9081,The Match Factory Girl,Tulitikkutehtaan tyttö,1990,The Match Factory Girl 1990,False
The Mattei Affair,Francesco Rosi,Italy,1972,1970s,1:56,"Winner of the Palme d’Or at Cannes, Francesco Rosi’s gripping docufiction conspiracy puzzle unfolds in a complex flashback structure as it recounts the life and mysterious death of Enrico Mattei (brilliantly played by the great Gian Maria Volontè). One of postwar Italy’s most powerful and controversial figures, Mattei was the head of the state-owned energy company who championed domestic development and resisted the influence of the American oil monopoly—and whose death in a never-explained plane crash many believe was an assassination.",1.93,https://www.criterionchannel.com/the-mattei-affair,The Mattei Affair 1972,The Mattei Affair 1972,tt0068346,7.6,1722,The Mattei Affair,Il caso Mattei,1972,The Mattei Affair 1972,False
Maurice,James Ivory,United Kingdom,1987,1980s,2:20,"James Ivory’s sumptuously romantic adaptation of E. M. Forster’s posthumously published novel “Maurice” is a heart-racing story of coming to terms with one’s sexuality and identity in the face of disapproval and misunderstanding. Amid the rigid conformity of pre–World War I English society, Maurice Hall (James Wilby) and Clive Durham (Hugh Grant) find themselves falling in love at Cambridge. At a time when homosexuality is punishable by imprisonment, the two must keep their feelings for one another a complete secret. After Clive abandons his forbidden love and marries a woman, Maurice is left alone to struggle with his identity and self-confidence—until a chance encounter brings about a profound change in his life and outlook.",2.33,https://www.criterionchannel.com/maurice,Maurice 1987,Maurice 1987,tt0093512,7.7,16707,Maurice,Maurice,1987,Maurice 1987,False
May Fools,Louis Malle,France,1990,1990s,1:47,"When a rash of strikes and political turmoil bubbles up in 1968 France, Milou (Michel Piccoli) finds himself unable to bury his mother.",1.78,https://www.criterionchannel.com/may-fools,May Fools 1990,May Fools 1990,tt0097884,7.3,2895,May Fools,Milou en mai,1990,May Fools 1990,False
Me and You and Everyone We Know,Miranda July,United States,2005,2000s,1:31,"With this compassionate, startling comedy that could have come from no other artistic sensibility, the brilliant Miranda July reveals a world both familiar and strange—an original vision of creativity, sexuality, childhood, and loneliness that emerges from a series of braided vignettes around a pair of potential lovers: Richard, a newly single shoe salesman and father of two (John Hawkes), and Christine, a lonely video artist and “Eldercab” driver (July). While they take hesitant steps toward romance, Richard’s sons follow their own curiosity toward their first sexual experiences, online and in real life, venturing into uncharted territories in their attempts to connect with others. Playful and profoundly transgressive, ME AND YOU AND EVERYONE WE KNOW is a poetic look at the tortuous routes we take to intimacy in an isolating world, and the moments of magic and redemption that unite us.",1.52,https://www.criterionchannel.com/me-and-you-and-everyone-we-know,Me and You and Everyone We Know 2005,Me and You and Everyone We Know 2005,tt0415978,7.3,35319,Me and You and Everyone We Know,Me and You and Everyone We Know,2005,Me and You and Everyone We Know 2005,False
Meantime,Mike Leigh,United Kingdom,1984,1980s,1:47,"A slow-burning depiction of economic degradation in Thatcher’s England, Mike Leigh’s MEANTIME is the culmination of the writer-director’s pioneering work in television. Unemployment is rampant in London’s working-class East End, where a middle-aged couple and their two sons languish in a claustrophobic public-housing flat. As the brothers (Phil Daniels and Tim Roth) grow increasingly disaffected, Leigh punctuates the grinding boredom of their daily existence with tense encounters, including with a priggish aunt (Marion Bailey) who has managed to become middle-class and a blithering skinhead on the verge of psychosis (a scene-stealing Gary Oldman, in his first major role). Informed by Leigh’s now trademark improvisational process and propelled by the lurching rhythms of its Beckett-like dialogue, MEANTIME is an unrelenting, often blisteringly funny look at life on the dole.",1.78,https://www.criterionchannel.com/meantime,Meantime 1984,Meantime 1983,tt0082727,7.2,3726,Meantime,Meantime,1983,Meantime 1983,False
The Melbourne Rendez-vous,René Lucot,France,1957,1950s,1:46,"Of the two feature endeavors made around the Games of the XVI Olympiad in 1956, THE MELBOURNE RENDEZ-VOUS, directed by René Lucot, excels. Its tone is more observant and more inquiring than that of most Olympic films. Shooting in Agfacolor, Lucot and his crew focus on the human aspect of the Melbourne Games, in a quirky manner that prefigures Kon Ichikawa's TOKYO OLYMPIAD, to be made eight years later.",1.77,https://www.criterionchannel.com/the-melbourne-rendez-vous,The Melbourne Rendez-vous 1957,The Melbourne Rendez-vous 1957,tt0165926,6.7,47,The Melbourne Rendez-vous,Rendez-vous à Melbourne,1957,The Melbourne Rendez-vous 1957,False
